"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Australia","AUS","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","2413484152.76067","2437003023.85486","2772986896.62896","2796505767.72315","3549109642.73715","3428155448.53847","3525590771.64296","3915332064.06093","4016127225.89316","4377869862.24661","5354462985.77668","5715085675.88756","6663551401.86916","9019859064.70211","11680176860.7222","13874095316.1273","14185049792.0081","15449644413.8564","16123392736.296","19275247074.8608","24616155988.8579","26334610472.5415","26231932031.3362","24060832943.3786","26236189096.1782","27497123571.3738","27321628427.5322","29290629962.9434","37674621653.085","45334256168.0645","47071950750.2886","52249430970.8814","54226716911.482","54747048903.8786","58015219647.1809","65793733293.7333","75814112291.3505","83327594302.7078","78166587533.0665","71285875422.9853","80697104816.9315","84096812278.6305","81986709920.4688","89076295864.8806","105368473467.065","126651631333.634","148419436957.173","172356912930.831","212503133393.017","213439846856.133","227050118911.301","299391698708.469","332126211590.019","314546014158.203","308750573762.967","270133954571.928","232715824719.755","281864393996.531","312681962638.555","336725790301.817","",
"Austria","AUT","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","4210936226.51495","4828104967.50743","5940800642.89541","7945377046.8761","10245142815.0766","11254488425.3773","12352078699.0872","14409079177.4207","18066572538.6146","22832410705.0952","26006990002.1272","23441765163.297","22623842865.2093","21981186609.4684","22265892304.5183","24230778797.5525","31689309598.9184","38996595559.4253","44096573052.4908","46607267810.7124","59423124773.0848","60116254566.8827","64678675181.5677","59900881343.9016","65453950126.4908","80827705745.8714","81256732518.8459","78792186266.7719","83704902178.7461","85477892606.009","85305371291.6897","88047337807.6063","96701496329.7572","116638893905.192","141025428358.58","153625979355.802","170827273867.771","204299603065.973","229126805331.771","180907557654.904","200892688044.939","232583677064.385","220981850149.848","229834282276.735","235966614250.844","202703358781.359","207303260908.564","225532509835.271","253446654971.686","247353333587.294","",
"Azerbaijan","AZE","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3885196371.82385","4014478401.50504","4302724069.23816","2281805933.31096","819242649.705302","991644243.368955","791908858.405022","1150564617.31493","1009305138.60034","1281380203.06622","2118054168.34413","2368624503.38237","2666940958.65048","3056403991.04052","4235066653.09861","8337000211.55067","13954555630.1769","22516839529.1924","32133276533.593","22870241353.5705","28728665753.0833","37214511839.9392","36914842158.8595","35907329509.2416","32560882315.4405","20059340230.3338","17580998934.6368","19839356263.0723","25484470588.2353","23629647058.8235","",
"Burundi","BDI","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","24499998","26250000","28000000","17500000","36750000","16452740.7407407","17828571.4285714","19257142.8571429","18861714.2857143","18371428.5714286","25945142.8571429","21329142.8571429","28961142.8571429","33526603.8537475","33674920.6349206","34839365.0793651","61551304.3478261","96342222.2222222","71443333.3333333","110822222.222222","81022222.2222222","88603333.3333333","103470000","97956966.1108123","113561106.006182","126803836.274753","140881024.787597","110260311.589511","136282900.38819","108560193.991189","89130244.3724271","115775316.368525","94756920.9276871","88062144.1515651","95016968.8478329","129318804.202468","50580560.1981833","95688945.6506315","71499431.1758513","61217971.467102","55005758.5302566","45410971.2771723","38676369.5311261","50072047.4404685","63635537.873214","69261008.8304376","92956376.4796095","92221558.6590511","169242773.917112","117576040.954033","197117152.22357","196752242.712616","226330906.445008","223097905.279872","205732033.513962","177973982.159024","196892749.282965","236167733.241568","285503118.549762","275062068.739445","",
"Belgium","BEL","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","12006111335.2158","13052184853.2193","16423224269.0862","22932275926.3093","29637776512.0133","30156821322.8036","34528907001.0449","39354961170.5121","46332075060.8428","58067512383.049","63563403228.0315","56620736636.2451","53510783153.8054","52655467455.6213","53687392488.1318","53878264148.3796","68750421708.5064","83463311723.3928","96418786615.469","104389986691.237","126512468614.196","126790048434.731","138072578419.072","126086323460.821","143073453098.626","173144772851.669","170850032573.29","163720906630.582","165908868637.475","166675047943.746","171360235857.748","169391856823.266","182148221343.874","219109255079.007","261315867891.731","286413008332.297","313301467820.851","368272378866.685","416715980665.007","331329674909.697","364802121084.452","421761151361.305","398952014299.411","413789684188.167","426678499805.665","359576861976.544","377878126013.216","418211812445.412","451227129596.549","436269291741.176","",
"Benin","BEN","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","13852022.3283418","10801828.3446839","8317361.99456439","9703490.05209447","13861514.1502658","21069299.1007541","20739915.2713466","23474433.6301209","30461094.8168297","38939712.0178981","50633283.0565214","59595404.5028899","59023791.0451078","78995251.9009445","79408573.2434805","98337358.6004389","90731935.2752976","121349816.855035","153492175.476023","207784769.85882","222261791.957198","205681871.994966","225297369.526999","150766908.094661","205805456.696281","247338434.725317","222807320.060097","238541696.086267","223654558.261557","202741075.388948","375946872.309605","417201334.67136","393976833.800644","510965402.210603","452687266.876523","593804034.832126","625667835.201242","616436678.880202","665156749.246294","845840856.515788","723503459.033678","727789558.529327","823513903.24829","995095866.261597","1143984772.98609","1213458997.61521","1269086284.28804","1798312733.32515","2158338688.71137","1932930439.95559","2199999216.44206","2229520361.4398","2662421230.52835","3451240834.16954","4175439095.28021","2815204773.51852","3263416680.50386","3455561315.16264","3889961780.11204","4264042971.65289","",
"Burkina Faso","BFA","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","16066015.5932969","19014523.3570401","20997594.4212122","21985472.3951019","11484234.600989","19676614.6700677","21918946.4763691","22215438.6427042","28569274.0399879","27823662.4410247","25007057.4461719","26587940.9376357","37028538.9377989","42590357.7160121","62500051.515426","69071585.0515765","80128193.5497911","90048551.0396468","110202801.789274","144182091.522441","172630524.021498","164734458.733882","143789772.682317","126168367.94676","160016224.494607","154030085.947449","183075141.081916","269185266.015942","287730467.399165","228834247.834382","340110196.070221","327535416.538908","198184577.912254","208751601.544402","269162042.425441","336477102.200468","273233009.365219","264655013.035635","359254830.522567","281097190.967742","261515857.363254","288539798.390956","321134590.058255","437119306.277283","593230283.613167","604914662.336342","717391886.997881","789151176.776729","959257187.219731","1303153901.79832","2074074146.56959","3164494170.16836","3340989789.37289","3640311463.70639","3755133897.1596","3089098202.89416","3325889934.21594","3731626622.06429","4517544324.79096","4056716092.88783","",
"Bangladesh","BGD","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","427347691.355166","519448521.02941","546086853.304424","531067333.067804","540135770.207523","570741539.824914","662275557.021677","675028035.681699","623451537.73079","690047514.251654","747575116.132797","550621082.29095","356841000","528824097.159748","463095606.326889","563045020.279405","480166471.380471","679513484.162896","738155879.62963","950929356.110381","996555891.472868","1038984088.1273","940219560.878244","986784511.784512","642600000","1199576923.07692","1128533333.33333","1212483870.96774","1442788426.25951","1594548362.40253","1866930004.59731","2062577030.81232","2405649867.37401","2990714285.71429","3039700748.12968","4122014925.37313","4507555012.22494","5075480093.67682","5876850220.26432","6028722961.73045","6588073941.56231","7227575982.20904","6791241511.40519","6876856649.39551","7257329709.52947","9994813008.13008","11744907683.1447","13530306979.4382","16181037749.5992","17359874074.1602","18472449276.0536","25627346571.2845","26886637936.4819","29304945498.3092","32830360072.3104","33820154152.8479","36864997680.8994","37546818877.6792","40560411465.9792","46363741962.7091","",
"Bulgaria","BGR","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","7084153846.15385","7081357142.85714","6631000000","6153111111.11111","7061055555.55556","7341684210.52632","8106529411.76471","11461076923.0769","10277764705.8824","10207166666.6667","6833181818.18182","4758064516.12903","4876288659.79381","4137681159.42029","4368450184.50185","6139107142.85714","5962327150.08432","5610034484.80885","6304076346.28493","5825652718.0715","4797489756.51109","4947390946.12533","5519115551.27588","7277457147.80401","10713394070.2178","12703276793.0881","16150904893.2213","23262813855.8432","28590551192.8801","21963725741.0962","25395582780.5604","33916506221.1162","32772597897.5033","36043133821.9327","36875485008.8183","32398958286.1029","34460613687.7828","39675532699.5102","43591843693.4218","44009023468.8037","",
"Bahrain","BHR","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","3813478376.22712","4547340159.57447","4337766223.40425","3611169946.80851","3768351063.82979","3716489627.65957","3013031914.89362","3472340425.53191","3529787234.04255","3811169946.80851","4887765691.48936","3923935904.25532","4009042287.23404","4361702127.65957","4520478723.40425","4796010638.29787","5364361436.17021","5020744946.80851","3994946808.51064","5221808510.6383","7176063829.78723","6607446808.51064","6956117021.2766","7980851063.82979","10336702127.6596","13396808510.6383","15662234042.5532","17314361702.1277","21231382978.7234","15704787234.0426","17880319148.9362","28609308510.6383","31409042553.1915","34102925531.9149","32069148936.1702","25805319148.9362","23918617021.2766","26881914893.617","29959042553.1915","","",
"Bahamas, The","BHS","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","589300000","688100000","785000000","939800000","961200000","1038300000","1153500000","1297900000","1503600000","1577900000","1664300000","","1648320000","1714730000","1585170000","1562180000","1606810000","1662790000","1699040000","1733680000","2335400000","2368200000","2801300000","3072900000","2834100000","3212800000","3176400000","3460500000","3812500000","3895000000","4257100000","4157100000","3412900000","3528800000","3769900000","4087430000","4189100000","4311800000","4440500000","4364300000","4538800000","5132000000","5328800000","",
"Bosnia and Herzegovina","BIH","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","194000000","381000000","658000000","1022000000","1123990566.57385","1295321568.62745","1579685633.53745","1632283629.20937","1619401636.18864","2535225100.98096","2946920634.92064","3549945952.81999","4505419793.47059","4276291112.6662","5131401288.19652","4405111158.46296","5100738132.32207","5973018693.58163","5572979240.57285","6133981399.76919","6307817799.48447","5761284944.71222","6147510887.39325","7382217932.46514","8501630054.31503","8076578902.18076","",
"Belarus","BLR","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9950000000","6000000000","10185185185.1852","11008264462.8099","10641993957.7039","6939552977.46472","6839769230.76923","8457248497.9202","8988770378.07839","7186389618.7248","8815283224.1715","8246546762.58993","9285958123.9531","11615943442.2233","15711851851.8519","18063463324.0483","22195244755.2448","27593429636.5331","37027902621.7228","24865449337.6298","29396844578.7177","48458472361.809","51744692335.3724","44058175675.6757","43301115023.4742","32749824186.8642","29831121833.5344","36551674170.6774","42295053003.5336","41905201262.0709","",
"Belize","BLZ","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","88973677.084055","84972542.787739","70947948.3470445","76516537.3161435","108649358.108206","83652580.9580265","104359482.16164","137936011.204951","161076592.032097","172914999.692331","201789164.717291","194000000","257665600","261401800","289455450","297425600","320713850","345342500","362282350","398031450","440767300","443480250","490171700","526733350","534853450","609026800","744269450","788432250","853628650","690190900","813293700","914738900","981551650","1032304100","1036213200","1013861000","933746650","1009694450","1079726300","1084579350","",
"Bermuda","BMU","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3370007000","3316640000","3221785000","3337183000","3281476000","3325330000","3403730000","3466748000","3703900000","3759931000","",
"Bolivia","BOL","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","60602013.3892052","66695604.2671831","67363395.0483314","81303527.6048014","109517688.108316","129713804.713805","142255892.255892","170033670.03367","169696969.69697","189814814.814815","250168350.16835","234343434.343434","265513350.883791","350024987.506247","741229385.307346","623738130.934533","756121939.030485","864117941.029485","849175412.293853","1068846706.17008","1101141924.95922","1386623164.76346","1623181529.4428","1536933903.2077","1459225551.75372","1024366575.83932","844298528.585402","853524588.169453","862854857.376268","1061010967.12834","1108688320.48918","1147700385.41027","1131361363.9277","1094220299.64127","1295735742.88497","1514377643.06398","1670373428.44756","1673157413.92764","1673904647.82853","1398595244.64937","1534697177.97364","1626040049.03964","1710308647.14086","2069144688.74034","2731911668.34677","3394519904.2908","4783642093.96375","5483666700.63175","7487864968.29366","6194300427.35043","8093183282.34364","10565709257.3418","12774727339.0902","13518462722.9877","14285068717.7791","10186598887.1356","8311504860.39185","9341206390.69807","10470274257.4627","10210442517.0918","",
"Brazil","BRA","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","1070544628.54537","1109152823.34559","770900519.674771","2080325261.99351","1354466134.88626","1685625122.1861","1846958711.61305","1764834054.99797","2032731102.64928","2479930321.58748","2975391707.00149","3155632739.4951","4249449495.7691","6557708237.89377","8424673828.03794","9325921437.05926","10741988183.0392","12776590678.7557","13404621904.9098","16026612550.3001","21276141967.6084","24828388398.9376","21435129573.2899","23221079048.8769","28317692072.5525","27305943051.3526","23640556197.1808","27820190044.6057","35974382968.3631","38004000000","37880000000","52310000000","43538125000","45983167701.8634","53941811356.1708","57920041189.9314","57235482141.0805","61679566883.1169","60724077380.4395","57330907863.5587","66774569991.801","69203919564.6629","72286060356.887","84757339584.0104","110743537333.333","135918581909.3","159215718705.466","186198863078.424","229512905442.251","180894503551.065","240006821282.401","303021879483.501","292804259894.527","290362691897.407","270452613684.658","232489103970.663","223864176667.717","258329886570.157","280742690897.148","263497852452.782","",
"Barbados","BRB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","202627097.668432","202690388.262302","245539166.832769","321101774.971412","438572067.816835","603440560.831303","565753492.765873","631531845.075324","740714960.473326","823546959.67782","811763536.021479","715905135.981703","659623129.319346","748670014.418535","852533187.490678","867846666.335206","819569432.705216","808900000","872470541.440859","973599164.719336","1038930045.24437","1134340973.49973","1161686471.43638","1194252473.52459","1230497688.06245","1322800000","1251500000","1211100000","1378750000","1435900000","1711700000","2026229150","2273854150","2327059750","1946091200","2104601250","2071175100","1964175800","1963432350","1893703900","1954045850","2083292250","2100297550","2100093700","2188203000","",
"Brunei Darussalam","BRN","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","966802084.6157","1052165478.85126","1332766715.23393","1639747478.88825","1844766930.51891","2665317759.58797","4601625256.86531","4066833909.2157","3809813084.11215","3393752957.87979","","","","","","1845357124.54494","2176000000","2468163926.83492","2421117249.84653","2248421834.38544","2087861725.80856","2827007196.27487","3065957446.80851","2972117456.89655","2044694072.65774","2567551622.41888","4042036716.93736","3894175364.17927","3922149447.1127","4543527034.78361","5416090226.00876","6688037370.82432","8227327081.6288","8310397452.06025","11269686706.1812","7811357074.10972","9239791712.50458","12876222275.2206","13364276568.5019","12311381074.1688","11657150749.8027","6751036439.01375","5652190834.72091","6012294735.31755","7045834309.43732","7804997287.78771","",
